X,Y,Name,OBJECTID,Shape__Area,Shape__Length
72.822928507392,19.0024081,G/S,1,9741111.91455,15974.681034
72.8645071166577,19.0285257376735,F/N,2,12853652.852,16825.3683394
72.8881042090979,19.032644011849,M/W,3,17620181.5264,25266.9563095
72.8313715790614,19.0656744329761,H/W,4,8650367.39716,15873.6145455
72.8444117076967,19.0307734291684,G/N,5,8315396.01263,14253.0957102
72.9270996578502,19.0349734263551,M/E,6,38225707.2638,28734.0146228
72.8356279191967,18.9750852702602,E,7,7172453.85114,16306.6110025
72.856469852399,19.0727541619708,H/E,8,12841525.4535,16454.1569139
72.8643993181776,19.2011833686879,R/S,9,18556319.3753,28066.2455164
72.9365622853587,19.1745025919125,T,10,45130672.5375,40408.7229288
72.9261882198677,19.086802049625,N,11,30602271.308,30174.5391035
72.8510637491948,19.1584516911508,P/S,12,25395629.2708,27243.6321463
72.848301811009,19.1826108557713,P/N,13,46700514.2817,49267.4074285
72.8398371935982,18.9563013559533,B,14,2658217.11011,8322.64597818
72.8447966955774,19.231624185341,R/C,15,47950008.5579,44053.944548
72.8658739468903,19.1125949142272,K/E,16,23982723.7224,24964.4293297
72.8866924643801,19.0883914608144,L,17,15625411.0261,25757.1572097
72.9244158843671,19.1348227594466,S,18,32554496.9057,33205.948
72.8605278338929,19.2537034675602,R/N,19,14176700.0126,17145.1494995
72.8323549735283,19.1180801518145,K/W,20,24353979.2439,29682.0990774
72.8238468235068,18.9215081026011,A,21,11209490.9888,23087.2903658
72.8274871215192,18.9516688798304,C,22,1913026.14252,6389.30465264
72.8119092389331,18.9597977564475,D,23,8302030.15588,16127.0863455
72.8466688854674,18.9976243927804,F/S,24,9872439.88586,15732.7697887
